単位：千円,,,,,,,,,,,,,
資金繰り表（第7期）,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,合計,月平均
今期売上,35844,26858,24213,22613,26619,24773,22122,26870,23413,32306,33476,34511,333618,27802
前期売上,17354,16919,19001,19233,24966,31540,42492,25676,26235,34161,26923,29346,313846,26154
前月繰越金（A）,21079,12868,42447,18298,20525,25497,42520,10343,21729,31138,32033,61082,,
収入_現金売上,0,0,0,0,0,0,0,0,0,0,0,0,0,0
収入_売掛金回収,35844,26858,24213,22613,26619,24773,22122,26870,23413,32306,33476,34511,333618,27802
収入_その他,0,0,0,0,0,0,0,0,0,0,0,0,0,0
経常収入計（B）,35844,26858,24213,22613,26619,24773,22122,26870,23413,32306,33476,34511,333618,27802
支出_現金仕入,,,,,,,,,,,,,0,0
支出_買掛金支払,29348,9636,25450,14640,13971,4647,26008,11759,9243,15125,15911,15202,190940,15912
支出_人件費,0,0,0,0,0,0,0,0,0,0,0,0,0,0
支出_その他,0,0,0,0,0,0,0,0,0,0,0,0,0,0
支出_商品棚卸高,-3846,-2243,12794,-3174,-2275,-6474,19100,-9257,-6411,2346,-5844,-1624,-1624,-135
支出_諸経費,18369,9703,9502,8342,9372,9003,8613,12408,10596,13349,12767,13898,135922,11327
経常支出計（C）,43871,17096,47746,19808,21068,7176,53721,14910,13428,30820,22834,27476,319954,26663
差引過不足（D）=（B）-（C）,-8027,9762,-23533,2805,5551,17597,-31599,11960,9985,1486,10642,7035,13664,1139
経常外収入,2,4,6,5,2,8,3,4,3,3,2,11,53,4
経常外支出,19,20,110,71,69,70,69,66,67,82,83,59,785,65
経常外収支計（E）,-17,-16,-104,-66,-67,-62,-66,-62,-64,-79,-81,-48,-732,-61
財務収入_日本政策金融公庫,,20000,,,,,,,,,,,,20000
財務収入_西武信用金庫,,,,,,,,,,,19000,,19000,
財務収入_その他,,,,,,,,,,,,,,0
財務支出_借入金返済（短期）,,,,,,,,,,,,,,0
財務支出_借入金返済（長期）,167,167,512,512,512,512,512,512,512,512,512,512,5454,
財務収支計（F）,-167,19833,-512,-512,-512,-512,-512,-512,-512,-512,18488,-512,33546,
翌月繰越金（G）=（A）+（D）+（E）+（F）,12868,42447,18298,20525,25497,42520,10343,21729,31138,32033,61082,67557,,
